Participant,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16,SP17,SP18,SP19,SP20
1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0
2,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0
3,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0
4,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1
5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
6,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1
7,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1
8,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
9,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1
10,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0
11,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
12,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
13,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1
14,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1
15,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1
16,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1
17,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1
18,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1
19,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
20,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1
21,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
22,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1
